alim_nom_fr,Calories,Proteines,Glucides,Lipides
Galette de riz soufflé complet,385,"7,69","80,5",3
Galette multicéréales soufflée,394,"8,86","82,4","2,5"
Galette de maïs soufflé,-,"7,44",-,"1,7"
"Pain grillé, tranches, au froment",404,"10,7","74,4","6,16"
"Pain grillé brioché, tranché, préemballé",419,"11,6","70,8","9,19"
Pain grillé suédois au froment,402,"9,75","68,5","8,25"
Pain grillé suédois aux graines de lin,396,"11,3",63,9
"Tartine craquante, extrudée et grillée",379,"10,9","73,7","3,57"
Pain grillé suédois au blé complet,398,"11,5","66,4",8
Pain grillé suédois aux fruits,401,"8,75","70,8",8
"Pain grillé, tranches, multicéréale",419,"12,1","68,8","9,3"
Croûton à tartiner,374,"13,5",70,"2,85"
"Croûtons nature, préemballés",495,"9,19","59,1","24,1"
Chapelure,374,"12,7",70,"3,77"
Gressin,433,"13,9","65,3","11,8"
"Croûton à l'ail aux fines herbes ou aux oignons, préemballé",492,"8,81","58,9","24,1"
"Pop-corn ou Maïs éclaté, à l'huile, salé",485,11,"52,6","23,8"
"Pop-corn ou Maïs éclaté, à l'air, non salé",417,"10,2",60,"12,3"
"Pop-corn ou Maïs éclaté, au caramel",418,3,"85,4","6,5"
Chips de crevette,508,"3,1","63,7","26,6"
Chips de maïs ou tortilla chips,495,"6,56","59,5","24,7"
"Biscuit apéritif soufflé, à base de pomme de terre",484,"4,25","60,5","24,1"
"Biscuit apéritif, mini bretzel ou sticks",379,"11,2","74,4","3,13"
"Biscuit apéritif soufflé, à base de pomme de terre et de soja",409,19,"58,3","9,33"
Biscuit apéritif (aliment moyen),486,"9,2","60,3","22,3"
"Biscuit apéritif soufflé, à base de maïs, sans cacahuète",489,"6,96","62,1",23
"Biscuit apéritif, crackers, garni ou fourré, au fromage",537,"13,8","46,3","32,2"
"Biscuit apéritif, crackers, nature",499,"10,5",59,"23,9"
"Biscuit apéritif, crackers, nature, allégé en matière grasse",410,"6,53","73,1","9,33"
"Biscuit apéritif soufflé, à base de maïs, à la cacahuète",487,"13,3","54,8","22,9"
"Biscuit apéritif à base de pomme de terre, type tuile salée",521,"4,63","59,1","28,8"
"Cacahuètes (arachide) enrobées d'un biscuit, pour apéritif",518,"15,8","45,4","29,7"
Biscuit apéritif feuilleté,509,"12,3","53,7","26,5"
"Crêpe dentelle (pour apéritif) au fromage, préemballée",555,"9,3","48,8","35,6"
Fécule de pomme de terre,348,0,"86,3","0,2"
Flocon d'avoine,367,"14,2","57,9","6,51"
Farine de blé tendre ou froment T110,343,"10,3","68,6","1,5"
Farine de blé tendre ou froment T150,342,"12,2","64,9","1,52"
Farine de blé tendre ou froment T65,346,"14,9","67,6",1
Farine de blé tendre ou froment T55 (pour pains),350,"9,9","73,7",1
Farine de blé tendre ou froment avec levure incorporée,350,10,74,1
Farine de blé tendre ou froment T45 (pour pâtisserie),356,"9,94","75,9","0,82"
Farine de blé tendre ou froment T80,355,"10,9","73,2","1,18"
Farine d'épeautre (grand épeautre),352,"12,5",64,3
Amidon de maïs ou fécule de maïs,362,"0,43","89,2","0,25"
Farine de riz,357,8,"73,9","2,5"
Farine de seigle T170,315,"17,1","44,8","2,22"
Farine de seigle T85,344,"8,7","70,7","1,37"
Farine de seigle T130,344,"7,76","70,9","1,12"
Farine de sarrasin,348,"11,5","68,4","2,19"
Farine de maïs,361,"6,23","78,1","2,1"
Farine d'orge,339,"10,6","64,5","2,3"
Farine de millet,350,"10,2","63,2","4,1"
Farine de pois chiche,359,"22,4",47,"6,69"
Farine de soja,460,"39,2","22,9","21,4"
Amidon de riz,343,"0,63",85,0
"Pâte à pizza fine, crue",279,"8,45","44,6","7,01"
"Pâte brisée, crue",377,"5,87","43,6","19,5"
"Pâte brisée, matière grasse végétale, cuite",505,"8,19","58,3","26,4"
"Pâte brisée, pur beurre, crue",384,"6,33","44,9","19,5"
"Pâte brisée, pur beurre, surgelée, crue",387,"6,2","43,3","20,7"
"Pâte brisée, pur beurre, cuite",497,"8,31","61,1","23,9"
"Pâte feuilletée, matière grasse végétale, crue",377,"5,93","41,4","20,4"
"Pâte feuilletée, surgelée, crue",400,"3,6","33,3","27,4"
"Pâte feuilletée, cuite",531,"7,88","54,1",31
"Pâte feuilletée pur beurre, crue",368,"6,14","39,7","20,1"
"Pâte feuilletée pur beurre, surgelée crue",398,"5,47","35,3","25,8"
"Pâte feuilletée pur beurre, cuite",509,"5,05",57,"28,7"
"Feuille de brick, cuite à sec sans matière grasse",378,"6,75","82,4","1,76"
"Pâte sablée, crue",404,"5,3",51,"19,6"
"Pâte sablée, cuite",505,"5,7","64,4","24,6"
"Pâte sablée pur beurre, crue",383,"5,95","53,6","15,8"
"Pâte phyllo ou Pâte filo, crue",289,"7,1","50,8",6
"Pâte sablée pur beurre, surgelée, crue",423,"4,9","60,9","17,5"
"Pâte sablée pur beurre, cuite",469,"6,2",63,"20,9"
Pâte à pizza crue,240,"7,05","44,2","3,45"
"Khatfa feuille de brick, préemballée",283,7,59,"1,5"
Pâte à pizza cuite,324,"8,5","55,3","7,1"
"Viande blanche, cuite (aliment moyen)",173,"28,1","0,26","6,55"
"Viande rouge, cuite (aliment moyen)",195,26,"0,027","10,1"
Viande cuite (aliment moyen),182,"27,2","0,24","8,04"
"Volaille, cuite (aliment moyen)",166,"27,6","0,28","5,96"
"Boeuf, entrecôte, partie maigre, grillée/poêlée",198,"25,5","< 0,1","10,7"
"Boeuf, braisé",240,"32,1",0,"12,4"
"Boeuf, gîte à la noix, cuit",102,21,"0,2","1,9"
"Boeuf, faux-filet, rôti/cuit au four",194,"28,8",traces,"8,71"
"Boeuf, faux-filet, grillé/poêlé",182,"27,1",0,"8,17"
"Boeuf, plat de côtes, braisé",269,"37,3",0,"13,3"
"Boeuf, hampe, grillée/poêlée",174,"21,6",traces,"9,76"
"Boeuf, joue, braisée ou bouillie",236,"39,2",traces,"8,82"
"Boeuf, jarret, bouilli/cuit à l'eau",161,31,traces,"4,1"
"Boeuf, tende de tranche, grillée/poêlée",141,"28,7",traces,"2,92"
"Boeuf, tende de tranche, rôtie/cuite au four",146,"29,8",traces,"3,03"
"Boeuf, steak ou bifteck, grillé",128,"27,6",traces,"1,95"
"Boeuf, onglet, grillé",171,23,traces,"8,8"
"Boeuf, rumsteck, grillé",123,25,traces,"2,5"
"Boeuf, boule de macreuse, grillée/poêlée",144,"26,7",traces,"4,11"
"Boeuf, rosbif, rôti/cuit au four",117,"21,9","0,3","3,16"
"Boeuf, bavette d'aloyau, grillée/poêlée",162,25,traces,"6,94"
"Boeuf, boule de macreuse, rôtie/cuite au four",147,"27,3",traces,"4,2"
"Boeuf, à bourguignon ou pot-au-feu, cuit",172,34,traces,"4,05"
"Boeuf, collier, braisé",184,33,traces,"5,8"
"Boeuf, steak haché 5% MG, cuit",155,"25,5",0,"5,85"
"Boeuf, steak haché 10% MG, cuit",210,"26,1",0,"11,8"
"Boeuf, steak haché 15% MG, cuit",239,"23,6",0,"16,1"
"Boeuf, steak haché 20% MG, cuit",265,23,"0,14","19,2"
"Boeuf, steak haché, cuit (aliment moyen)",231,"23,8","0,0018","15,1"
"Boeuf, paleron, braisé ou bouilli",251,"36,8","0,2","11,4"
"Boeuf, queue, bouillie/cuite à l'eau",196,28,traces,"9,3"
"Veau, côte, grillée/poêlée",156,"25,1",0,"6,24"
"Veau, carré, sauté/poêlé",171,28,traces,"6,6"
"Veau, escalope, cuite",147,31,traces,"2,5"
"Veau, noix, grillée/poêlée",147,"29,1",traces,"3,44"
"Veau, noix, rôtie",147,"29,1",traces,"3,44"
"Veau, filet, rôti/cuit au four",201,"23,4","0,5","11,7"
"Veau, rôti, cuit",143,"28,1",0,"3,39"
"Veau, épaule, grillée/poêlée",166,"27,6",traces,"6,17"
"Veau, épaule, braisée ou bouillie",219,"36,4",traces,"8,14"
"Veau, viande, cuite (aliment moyen)",169,29,"0,74","5,55"
"Veau, jarret, braisé ou bouilli",207,"37,4",traces,"6,43"
"Veau, tête, bouillie/cuite à l'eau",187,21,traces,"11,4"
"Veau, collier, braisé ou bouilli",233,"34,9",traces,"10,4"
"Porc, longe, cuite",240,"27,1",0,"14,7"
"Porc, palette, crue",208,"24,8",traces,"12,1"
"Porc, épaule, cuite",253,30,0,"14,8"
"Porc, côte, grillée",211,"29,6",0,"10,3"
"Porc, rouelle de jambon, cuite",266,"36,9",traces,"13,1"
"Porc, carré, cuit",206,"34,1","0,6","7,45"
"Porc, filet, maigre, en rôti, cuit",198,"28,3",0,"9,39"
"Porc, filet mignon, cuit",168,"26,1",traces,"7,1"
"Porc, viande, cuite (aliment moyen)",205,"29,1","0,24","9,78"
"Porc, rôti, cuit",163,"30,5","0,65","4,31"
"Porc, travers, braisé",333,"23,1","0,13","26,6"
"Porc, échine, rôtie/cuite au four",295,"26,2","< 0,1","21,2"
"Porc, escalope de jambon, cuite",200,36,traces,"6,2"
"Poulet, cuisse, viande et peau, rôtie/cuite au four",213,"25,9",2,"11,3"
"Poulet, viande et peau, rôti/cuit au four",213,"28,9","2,1","9,88"
"Poulet, cuisse, viande, rôti/cuit au four",171,"24,8",0,"8,03"
"Poulet, filet, sans peau, sauté/poêlé",141,"30,1",0,2
"Poulet, cuisse, viande, bouilli/cuit à l'eau",188,"24,8","0,7","9,52"
"Poulet, cuisse, viande et peau, bouilli/cuit à l'eau",188,"26,1","< 0,55","9,1"
"Poulet, poitrine, viande et peau, rôti/cuit au four",189,"29,8",0,"7,78"
"Poulet, aile, viande et peau, rôti/cuit au four",247,"23,8",0,"16,9"
"Poulet, filet, sans peau, sauté/poêlé, bio",144,"31,1",0,"1,8"
"Dinde, viande, rôtie/cuite au four",151,"29,1",0,"3,84"
"Dinde, escalope, sautée/poêlée",124,"28,5",0,"1,09"
"Dinde, escalope, rôtie/cuite au four",128,"24,6","0,5","3,04"
"Agneau, côtelette, grillée",240,"25,7",traces,"15,2"
"Agneau, gigot, rôti/cuit au four",169,"26,8",0,"6,85"
"Agneau, épaule, rôtie/cuite au four",252,"30,5","< 0,1","14,5"
"Agneau, épaule, maigre, rôtie/cuite au four",197,"24,9",0,"10,8"
"Agneau, collier, braisé ou bouilli",365,"33,6",traces,"25,6"
"Agneau, côte filet, grillée/poêlée",157,"26,3",traces,"5,78"
"Agneau, côte première, grillée/poêlée",185,"26,1",0,"9,01"
"Agneau, selle, partie maigre, rôtie/cuite au four",153,"26,1",0,"5,45"
"Agneau, gigot, grillé/poêlé",174,"27,6",traces,"7,08"
"Agneau, gigot, braisé",222,"35,2",traces,"9,03"
"Agneau, selle, partie maigre, grillée/poêlée",153,"26,1",traces,"5,45"
"Agneau, côte ou côtelette, cuite (aliment moyen)",157,"26,3",0,"5,78"
"Agneau, viande, cuite (aliment moyen)",208,"28,1","0,011","10,6"
"Agneau, côte ou côtelette, grillée/poêlée (aliment moyen)",157,"26,3",0,"5,78"
"Chevreuil, rôti/cuit au four",150,"30,2",0,"3,19"
"Sanglier, rôti/cuit au four",153,"28,3",0,"4,38"
"Cerf, rôti/cuit au four",150,"30,2",0,"3,19"
"Gibier à poil, cuit (aliment moyen)",152,"29,6",0,"3,74"
"Faisan, viande, rôtie/cuite au four",239,"32,4",0,"12,1"
"Gibier à plumes, viande, cuit (aliment moyen)",217,"25,1",0,13
"Cheval, viande, rôtie/cuite au four",138,28,0,"2,85"
"Cheval, tende de tranche, grillée/poêlée",135,"27,9",traces,"2,58"
"Cheval, faux-filet, grillé/poêlé",163,"26,6",traces,"6,27"
"Cheval, entrecôte, grillée/poêlée",169,"28,2",traces,"6,24"
"Cheval, faux-filet, rôti/cuit au four",173,"28,3",traces,"6,68"
"Cheval, tende de tranche, rôtie/cuite au four",144,"29,7",traces,"2,75"
"Chevreau, cuit",136,"27,1",0,"3,03"
"Lapin, viande braisée",197,"30,4",0,"8,41"
"Lapin, viande cuite",167,"20,5","0,5","9,2"
"Lapin de garenne, viande, cuite",164,33,0,"3,51"
"Chapon, viande et peau, rôti/cuit au four",221,29,0,"11,7"
"Caille, viande et peau, cuite",206,"26,8",0,"10,9"
"Canard, viande et peau, rôti/cuit au four",331,19,0,"28,4"
"Canard, viande, rôtie/cuite au four",194,"23,3",0,"11,2"
"Canard, magret, grillé/poêlé",222,"26,7",traces,"12,8"
"Oie, viande, rôtie/cuite au four",230,29,0,"12,7"
"Oie, viande et peau, rôtie/cuite au four",298,"25,2",0,"21,9"
"Pigeon, viande, rôtie/cuite au four",213,"23,9",0,13
"Autruche, viande cuite",168,"26,2",0,"7,07"
"Cervelle, agneau, cuite",145,"12,6","0,8","10,2"
"Cervelle, porc, braisée",174,"12,4","< 0,05","13,8"
"Cervelle, veau, cuite",133,"11,5",0,"9,63"
"Coeur, boeuf, cuit",133,23,"0,15","4,5"
"Coeur, poulet, cuit",177,"26,4","0,1","7,92"
"Coeur, dinde, cuit",167,"24,9",0,"7,52"
"Coeur, agneau, cuit",179,25,"1,93","7,91"
"Foie, agneau, cuit",157,23,"3,16","5,8"
"Foie, génisse, cuit",165,"26,3","2,2","5,71"
"Foie, veau, cuit",121,19,"4,47","3,02"
"Foie, volaille, cuit",164,"25,8",0,"6,4"
"Foie, porc, cuit",159,26,"3,76","4,4"
"Foie, poulet, cuit",160,"24,5","0,8","6,51"
"Foie, dinde, cuit",182,27,0,"8,18"
"Langue, veau, cuite",237,21,0,17
"Langue, boeuf, cuite",235,"23,7",0,"15,6"
"Ris, agneau, cuit",227,"22,8",0,"15,1"
"Ris, veau, braisé ou sauté/poêlé",136,21,0,"5,8"
"Rognon, cuit (aliment moyen)",161,"26,1",0,"6,31"
"Rognon, boeuf, cuit",171,27,0,7
"Rognon, porc, cuit",144,"25,4",0,"4,7"
"Rognon, agneau, braisé",127,"23,7",0,"3,62"
"Rognon, veau, braisé ou sauté/poêlé",167,26,0,7
"Abat, cuit (aliment moyen)",162,"25,1","1,36","6,24"
"Gésier, canard, confit, appertisé",149,"32,4",0,"2,1"
"Boeuf, côte, crue",251,"18,7",traces,"19,6"
"Boeuf, épaule, crue",168,"20,4",0,"9,64"
"Boeuf, basse-côte, crue",201,19,"1,45","13,2"
"Boeuf, gîte à la noix, cru",148,"21,3",0,"7,05"
"Boeuf, entrecôte, crue",231,"19,4",0,"17,1"
"Boeuf, rond de gîte, cru",111,"22,9","0,38","2,02"
"Boeuf, faux-filet, cru",152,"22,3","0,6","6,74"
"Boeuf, filet, cru",132,"21,6","0,22","4,95"
"Boeuf, plat de côtes, cru",287,"18,4",0,"23,7"
"Boeuf, hampe, crue",154,19,0,"8,63"
"Boeuf, joue, crue",136,"22,3","0,4","5,02"
"Boeuf, jarret, cru",122,"20,9",0,"4,25"
"Boeuf, tende de tranche, crue",116,"23,1","0,57","2,34"
"Boeuf, steak ou bifteck, cru",223,"19,2",0,"16,2"
"Boeuf, boule de macreuse, crue",118,"21,8",0,"3,36"
"Boeuf, onglet, cru",138,"19,9","0,62","6,18"
"Boeuf, rumsteck, cru",114,"22,5","0,4","2,5"
"Boeuf, bavette d'aloyau, crue",133,"20,4",0,"5,67"
"Boeuf, à bourguignon ou pot-au-feu, cru",164,24,0,"7,5"
"Boeuf, collier, cru",198,"20,1","0,78","12,7"
"Boeuf, steak haché 5% MG, cru",130,"21,9","0,3","4,59"
"Boeuf, steak haché 10% MG, cru",171,20,"< 0,05","10,1"
"Boeuf, steak haché 15% MG, cru",209,"20,2","0,47","14,1"
"Boeuf, steak haché 20% MG, cru",249,"17,3",0,20
"Boeuf, paleron, cru",144,"21,2",0,"6,54"
"Boeuf, queue, crue",203,"21,5","0,23","12,9"
"Veau, côte, crue",189,"18,3",0,"12,9"
"Veau, carré, cru",145,"19,5","0,4","7,25"
"Veau, escalope, crue",108,"20,7","0,58","2,6"
"Veau, noix, crue",111,"21,8",0,"2,58"
"Veau, filet, cru",95,"20,6",0,"1,4"
"Veau, steak haché 20% MG, cru",243,"16,7","0,4","19,5"
"Veau, steak haché 15% MG, cru",208,"18,2",traces,15
"Veau, poitrine, crue",176,"18,7",0,"11,2"
"Veau, rôti, cru",145,"27,3",0,"3,96"
"Veau, épaule, crue",124,"20,7",0,"4,63"
"Veau, pied, cru",184,"19,1",traces,12
"Veau, jarret, cru",118,"21,3",0,"3,66"
"Veau, collier, cru",133,"19,8",traces,"5,92"
"Porc, épaule, crue",178,"18,9","0,38","11,2"
"Porc, poitrine, crue",253,17,0,"20,5"
"Porc, longe, crue",175,"20,8","0,75","9,89"
"Porc, jarret, cru",187,"19,9",0,12
"Porc, côte, crue",164,"19,8","0,38","9,3"
"Porc, rouelle de jambon, crue",149,"20,2",0,"7,56"
"Porc, carré, cru",146,"22,7","0,4","5,94"
"Porc, filet, maigre, cru",117,"21,2",0,"3,6"
"Porc, filet mignon, cru",123,"21,2","0,4","4,09"
"Porc, rôti, cru",153,"22,3","0,5","6,86"
"Porc, échine, crue",198,18,"0,1",14
"Porc, travers, cru",237,18,"0,6",18
"Porc, escalope de jambon, crue",129,"21,5",0,"4,76"
"Porc, bardière découennée, crue",744,"4,51","0,1","80,6"
"Porc, gorge, découennée, crue",475,"11,6","0,14","47,5"
"Porc, hachage sans jarret, sans bateau, découenné, dégraissé, désossé, cru",187,"18,9","0,23","12,3"
"Porc, jambon sans jarret, sans bateau, découenné, dégraissé, désossé, cru",141,"20,9","0,28","6,3"
"Porc, jambonneau arrière, découenné, dégraisssé, désossé, cru",148,"20,2","0,28","7,31"
"Porc, maigre 90/10, cru",212,"18,8","0,24","15,1"
"Porc, maigre 80/20, cru",293,"17,3","0,26","24,7"
"Porc, palette, découennée, dégraissée, désossée, crue",174,"19,9","0,25","10,4"
"Porc, poitrine cutter, sans mouille, crue",323,"15,9","0,22","28,7"
"Porc, rôti filet avec chaînette, cru",146,"22,3","0,37","6,2"
"Poulet, cuisse, viande et peau, cru",192,"17,3",0,"13,5"
"Poulet, viande, crue",113,20,0,"3,73"
"Poulet (var. blanc), viande et peau, cru",123,"21,2",0,"4,3"
"Poulet fermier, viande et peau, cru",135,"21,5","0,2","5,4"
"Poulet, viande et peau, cru",173,"20,2","0,3","10,1"
"Poulet, filet, sans peau, cru",110,"23,4",0,"1,5"
"Poulet, haut de cuisse, viande, cru",116,"19,7",0,"4,12"
"Poulet éviscéré sans abats, cru",210,"18,6",traces,"15,1"
"Poulet, pilon, cru",155,"18,4",0,"9,05"
"Poulet, aile, viande et peau, cru",181,"20,4",0,11
"Poulet, cuisse, viande, cru",114,"19,3",0,"4,05"
"Poulet, poitrine, viande et peau, cru",157,"21,1",0,"8,08"
"Poulet, cuisse, viande et peau, cru, bio",193,"18,1",0,"13,3"
"Poulet, cuisse, viande et peau, cru, label rouge",173,"19,1",0,"10,6"
"Poulet, filet, sans peau, cru, bio",118,"24,6",0,"1,8"
"Poulet, filet, sans peau, cru, label rouge",113,"25,2",0,1
"Dinde, viande et peau, crue",132,"23,4",0,"4,31"
"Dinde, viande, crue",110,"22,4","0,8","1,88"
"Dinde, escalope, crue",109,"24,1","0,51","1,22"
"Dinde, cuisse, viande et peau, crue",150,"19,8",0,"7,85"
"Dinde, cuisse, viande sans peau, crue",109,"21,3","0,4","2,5"
"Dinde, aile, crue",192,"20,2",0,"12,3"
"Mouton, viande, crue",137,"20,6",traces,"6,11"
"Mouton, épaule, crue",204,"18,3","0,1","14,5"
"Mouton, pied, cru",204,"18,1",traces,"14,6"
"Mouton, tête, crue",204,"18,1",traces,"14,6"
"Mouton, gigot, cru",225,18,traces,17
"Agneau, côtelette, crue",368,"14,4",0,"34,5"
"Agneau, gigot, cru",128,20,"0,48","5,13"
"Agneau, épaule, crue",170,"18,3","0,45","10,6"
"Agneau, épaule, maigre, crue",139,"19,6",0,"6,76"
"Agneau, collier, cru",195,18,traces,"13,7"
"Agneau, selle, crue",236,"17,5",0,"18,4"
"Agneau, côte filet, crue",242,"17,6","2,3",18
"Agneau, côte première, crue",276,"16,9",0,"23,1"
"Agneau, côte ou côtelette, crue (aliment moyen)",273,"16,3","0,92","22,6"
"Agneau, côte découverte, crue",205,"16,3","1,38",15
"Sanglier, cru",147,"20,7",0,"7,13"
"Lièvre, viande crue",111,"21,6",0,"2,67"
"Chevreuil, cru",110,23,0,2
"Cerf, cru",113,"23,7",0,"2,04"
"Faisan, viande, cru",127,"23,3",0,"3,78"
"Faisan, viande et peau, cru",164,"23,2",0,"7,95"
"Cheval, viande, crue",167,"18,8","0,6",10
"Cheval, steak, cru",129,"21,4","0,4","4,6"
"Cheval, tende de tranche, crue",106,"22,7",traces,"1,68"
"Cheval, faux-filet, cru",121,"22,2",traces,"3,58"
"Cheval, entrecôte, crue",118,"22,1",traces,"3,34"
"Chevreau, cru",103,"20,6",0,"2,31"
"Lapin, viande crue",189,"20,4","0,66","11,6"
"Lapin de garenne, viande, crue",108,"21,8",0,"2,32"
"Poule, viande et peau, crue",215,"17,8","0,4","15,8"
"Poule, viande ,crue",124,"20,9",0,"4,51"
"Poule, cuisse, crue",131,"19,6",0,"5,92"
"Chapon, viande et peau, cru",183,"21,8",0,"10,6"
"Caille, viande et peau, crue",136,"21,5",0,"5,55"
"Caille, viande, crue",126,"22,5","0,5","3,81"
"Canard, viande, crue",126,"19,4",0,"5,33"
"Canard, cuisse avec peau, sans os, crue",103,"18,7",traces,"3,1"
"Canard, viande et peau, cru",284,"17,4","2,75","22,6"
"Canard, magret, cru",340,"17,9","0,85","29,4"
"Oie, viande crue",155,"22,6",0,"7,12"
"Oie, viande et peau, crue",365,"15,7",0,"33,6"
"Pigeon, cru",222,"18,9","0,7",16
"Pintade, crue",143,"22,8",0,"5,75"
"Pintade, poitrine, crue",107,"25,1",0,"0,7"
"Pintade, cuisse, crue",121,"21,3",0,4
"Autruche, viande crue",159,"20,2",0,"8,7"
"Cervelle, agneau, crue",122,"10,4","0,8","8,58"
"Cervelle, porc, crue",124,"10,3",0,"9,21"
"Cervelle, veau, crue",117,"10,3","0,5","8,21"
"Coeur, boeuf, cru",103,"18,5","0,7","2,95"
"Coeur, poulet, cru",149,"15,6","0,7","9,32"
"Coeur, dinde, cru",135,"16,7","0,4","7,44"
"Coeur, agneau, cru",119,"16,5","0,4","5,68"
"Coeur, porc, cru",109,"17,1","0,4","4,33"
"Coeur, veau, cru",106,"16,1","1,8","3,84"
"Foie, agneau, cru",148,"21,8","2,92","5,45"
"Foie, génisse, cru",138,21,"3,67","4,3"
"Foie, veau, cru",120,"15,5","5,64","3,4"
"Foie, volaille, cru",133,"21,3","1,13","4,88"
"Foie, lapin, cru",132,19,5,4
"Foie, poulet, cru",121,"18,8","1,1","4,62"
"Foie, dinde, cru",123,"18,3",0,"5,5"
"Foie, porc, cru",127,"20,6","1,85","4,2"
"Foie, oie, cru",129,"16,3","6,3","4,29"
"Foie, canard, cru",131,"18,7","3,5","4,62"
"Langue, boeuf, crue",193,"16,8","0,4","13,8"
"Langue, veau, crue",151,17,"0,9","8,84"
"Langue, porc, crue",191,"16,6","0,5","13,6"
